"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1.0"
"2","Bijan Robinson","ATL","5","RB1","3","2","2.5"
"3","Saquon Barkley","PHI","9","RB2","2","4","3.0"
"4","Jahmyr Gibbs","DET","8","RB3","5","3","4.0"
"5","Justin Jefferson","MIN","6","WR2","4","6","5.0"
"6","CeeDee Lamb","DAL","10","WR3","6","5","5.5"
"7","Malik Nabers","NYG","14","WR4","9","8","8.5"
"8","Amon-Ra St. Brown","DET","8","WR5","8","10","9.0"
"9","Puka Nacua","LAR","8","WR6","7","12","9.5"
"10","Ashton Jeanty","LV","8","RB4","11","9","10.0"
"11","Christian McCaffrey","SF","14","RB5","14","7","10.5"
"12","Derrick Henry","BAL","7","RB6","10","13","11.5"
"13","Nico Collins","HOU","6","WR7","12","14","13.0"
"14","De'Von Achane","MIA","12","RB7","16","11","13.5"
"15","Brian Thomas Jr.","JAC","8","WR8","13","15","14.0"
"16","Brock Bowers","LV","8","TE1","15","20","17.5"
"17","Bucky Irving","TB","9","RB8","17","18","17.5"
"18","Josh Jacobs","GB","5","RB9","20","16","18.0"
"19","Drake London","ATL","5","WR9","18","19","18.5"
"20","A.J. Brown","PHI","9","WR10","19","25","22.0"
"21","Chase Brown","CIN","10","RB10","28","17","22.5"
"22","Josh Allen","BUF","7","QB1","22","23","22.5"
"23","Jonathan Taylor","IND","11","RB11","23","22","22.5"
"24","Lamar Jackson","BAL","7","QB2","25","21","23.0"
"25","Trey McBride","ARI","8","TE2","24","26","25.0"
"26","Ladd McConkey","LAC","12","WR11","21","30","25.5"
"27","Kyren Williams","LAR","8","RB12","27","24","25.5"
"28","Tyreek Hill","MIA","12","WR12","29","27","28.0"
"29","Jayden Daniels","WAS","12","QB3","30","28","29.0"
"30","Jaxon Smith-Njigba","SEA","8","WR13","26","35","30.5"
"31","Breece Hall","NYJ","9","RB13","33","29","31.0"
"32","Tee Higgins","CIN","10","WR14","31","36","33.5"
"33","James Cook","BUF","7","RB14","35","33","34.0"
"34","Omarion Hampton","LAC","12","RB15","39","31","35.0"
"35","Garrett Wilson","NYJ","9","WR15","32","39","35.5"
"36","Joe Burrow","CIN","10","QB4","43","32","37.5"
"37","Jalen Hurts","PHI","9","QB5","40","37","38.5"
"38","Alvin Kamara","NO","11","RB16","44","34","39.0"
"39","George Kittle","SF","14","TE3","38","40","39.0"
"40","Marvin Harrison Jr.","ARI","8","WR16","36","43","39.5"
"41","Terry McLaurin","WAS","12","WR17","34","46","40.0"
"42","Kenneth Walker III","SEA","8","RB17","45","38","41.5"
"43","Davante Adams","LAR","8","WR18","42","42","42.0"
"44","Mike Evans","TB","9","WR19","37","48","42.5"
"45","Chuba Hubbard","CAR","14","RB18","47","41","44.0"
"46","DJ Moore","CHI","5","WR20","48","45","46.5"
"47","James Conner","ARI","8","RB19","51","49","50.0"
"48","DK Metcalf","PIT","5","WR21","49","51","50.0"
"49","Courtland Sutton","DEN","12","WR22","50","50","50.0"
"50","Rashee Rice","KC","10","WR23","41","64","52.5"
"51","TreVeyon Henderson","NE","14","RB20","63","44","53.5"
"52","DeVonta Smith","PHI","9","WR24","54","55","54.5"
"53","RJ Harvey","DEN","12","RB21","58","52","55.0"
"54","Tetairoa McMillan","CAR","14","WR25","60","53","56.5"
"55","David Montgomery","DET","8","RB22","55","59","57.0"
"56","Joe Mixon","HOU","6","RB23","46","71","58.5"
"57","Xavier Worthy","KC","10","WR26","56","61","58.5"
"58","Sam LaPorta","DET","8","TE4","52","66","59.0"
"59","Patrick Mahomes II","KC","10","QB6","64","54","59.0"
"60","Jameson Williams","DET","8","WR27","57","63","60.0"
"61","Isiah Pacheco","KC","10","RB24","62","58","60.0"
"62","D'Andre Swift","CHI","5","RB25","75","47","61.0"
"63","Zay Flowers","BAL","7","WR28","53","70","61.5"
"64","Aaron Jones Sr.","MIN","6","RB26","67","60","63.5"
"65","George Pickens","DAL","10","WR29","61","68","64.5"
"66","Tony Pollard","TEN","10","RB27","73","57","65.0"
"67","Calvin Ridley","TEN","10","WR30","77","56","66.5"
"68","T.J. Hockenson","MIN","6","TE5","59","75","67.0"
"69","Travis Hunter","JAC","8","WR31","65","72","68.5"
"70","Jerry Jeudy","CLE","9","WR32","71","69","70.0"
"71","Kaleb Johnson","PIT","5","RB28","79","62","70.5"
"72","Travis Kelce","KC","10","TE6","76","65","70.5"
"73","Baker Mayfield","TB","9","QB7","74","67","70.5"
"74","Jaylen Waddle","MIA","12","WR33","68","77","72.5"
"75","Chris Olave","NO","11","WR34","69","76","72.5"
"76","Tyrone Tracy Jr.","NYG","14","RB29","80","74","77.0"
"77","Bo Nix","DEN","12","QB8","85","73","79.0"
"78","Jordan Addison","MIN","6","WR35","70","90","80.0"
"79","Rome Odunze","CHI","5","WR36","78","83","80.5"
"80","Brian Robinson Jr.","WAS","12","RB30","81","81","81.0"
"81","Jaylen Warren","PIT","5","RB31","87","78","82.5"
"82","Chris Godwin","TB","9","WR37","72","94","83.0"
"83","Quinshon Judkins","CLE","9","RB32","66","102","84.0"
"84","Deebo Samuel Sr.","WAS","12","WR38","88","80","84.0"
"85","Stefon Diggs","NE","14","WR39","94","79","86.5"
"86","Mark Andrews","BAL","7","TE7","82","91","86.5"
"87","Cooper Kupp","SEA","8","WR40","92","84","88.0"
"88","Jakobi Meyers","LV","8","WR41","84","93","88.5"
"89","Travis Etienne Jr.","JAC","8","RB33","90","87","88.5"
"90","Evan Engram","DEN","12","TE8","91","88","89.5"
"91","Kyler Murray","ARI","8","QB9","96","85","90.5"
"92","Matthew Golden","GB","5","WR42","100","82","91.0"
"93","Ricky Pearsall","SF","14","WR43","97","89","93.0"
"94","Khalil Shakir","BUF","7","WR44","83","106","94.5"
"95","Javonte Williams","DAL","10","RB34","104","95","99.5"
"96","Jared Goff","DET","8","QB10","98","101","99.5"
"97","Jauan Jennings","SF","14","WR45","102","98","100.0"
"98","Jordan Mason","MIN","6","RB35","116","86","101.0"
"99","Zach Charbonnet","SEA","8","RB36","108","97","102.5"
"100","Tyler Warren","IND","11","TE9","101","104","102.5"
"101","David Njoku","CLE","9","TE10","99","108","103.5"
"102","Jayden Reed","GB","5","WR46","95","115","105.0"
"103","Najee Harris","LAC","12","RB37","89","122","105.5"
"104","Dak Prescott","DAL","10","QB11","121","92","106.5"
"105","Cam Skattebo","NYG","14","RB38","106","107","106.5"
"106","Caleb Williams","CHI","5","QB12","115","100","107.5"
"107","Emeka Egbuka","TB","9","WR47","117","99","108.0"
"108","Rhamondre Stevenson","NE","14","RB39","105","111","108.0"
"109","Brock Purdy","SF","14","QB13","111","110","110.5"
"110","Josh Downs","IND","11","WR48","103","120","111.5"
"111","Justin Herbert","LAC","12","QB14","109","114","111.5"
"112","Colston Loveland","CHI","5","TE11","120","105","112.5"
"113","Tyjae Spears","TEN","10","RB40","112","113","112.5"
"114","Michael Pittman Jr.","IND","11","WR49","110","116","113.0"
"115","Justin Fields","NYJ","9","QB15","124","103","113.5"
"116","J.K. Dobbins","DEN","12","RB41","132","96","114.0"
"117","Jonnu Smith","PIT","5","TE12","86","144","115.0"
"118","Tucker Kraft","GB","5","TE13","114","117","115.5"
"119","Brandon Aiyuk","SF","14","WR50","93","140","116.5"
"120","Tank Bigsby","JAC","8","RB42","131","109","120.0"
"121","Darnell Mooney","ATL","5","WR51","107","135","121.0"
"122","Keon Coleman","BUF","7","WR52","118","125","121.5"
"123","Drake Maye","NE","14","QB16","130","119","124.5"
"124","Jayden Higgins","HOU","6","WR53","119","130","124.5"
"125","Jake Ferguson","DAL","10","TE14","122","127","124.5"
"126","Rachaad White","TB","9","RB43","126","123","124.5"
"127","Jaydon Blue","DAL","10","RB44","139","112","125.5"
"128","Dalton Kincaid","BUF","7","TE15","113","143","128.0"
"129","C.J. Stroud","HOU","6","QB17","127","131","129.0"
"130","Jordan Love","GB","5","QB18","123","139","131.0"
"131","Austin Ekeler","WAS","12","RB45","142","124","133.0"
"132","J.J. McCarthy","MIN","6","QB19","140","129","134.5"
"133","Jerome Ford","CLE","9","RB46","152","118","135.0"
"134","Marvin Mims Jr.","DEN","12","WR54","135","138","136.5"
"135","Kyle Pitts Sr.","ATL","5","TE16","136","137","136.5"
"136","Trey Benson","ARI","8","RB47","149","126","137.5"
"137","Isaac Guerendo","SF","14","RB48","144","133","138.5"
"138","Ray Davis","BUF","7","RB49","146","132","139.0"
"139","Bhayshul Tuten","JAC","8","RB50","137","141","139.0"
"140","Rashid Shaheed","NO","11","WR55","129","150","139.5"
"141","Rico Dowdle","CAR","14","RB51","134","146","140.0"
"142","Dallas Goedert","PHI","9","TE17","125","156","140.5"
"143","Luther Burden III","CHI","5","WR56","133","148","140.5"
"144","Trevor Lawrence","JAC","8","QB20","145","136","140.5"
"145","Tre' Harris","LAC","12","WR57","128","162","145.0"
"146","Christian Kirk","HOU","6","WR58","138","152","145.0"
"147","Braelon Allen","NYJ","9","RB52","174","121","147.5"
"148","Tyler Allgeier","ATL","5","RB53","153","145","149.0"
"149","Tua Tagovailoa","MIA","12","QB21","162","142","152.0"
"150","Nick Chubb","HOU","6","RB54","172","134","153.0"
"151","Hunter Henry","NE","14","TE18","156","153","154.5"
"152","Marquise Brown","KC","10","WR59","150","161","155.5"
"153","Keenan Allen","LAC","12","WR60","184","128","156.0"
"154","Jack Bech","LV","8","WR61","147","166","156.5"
"155","Dylan Sampson","CLE","9","RB55","168","147","157.5"
"156","Zach Ertz","WAS","12","TE19","158","159","158.5"
"157","Denver Broncos","DST","12","DST1","155","163","159.0"
"158","Philadelphia Eagles","DST","9","DST2","151","171","161.0"
"159","Bryce Young","CAR","14","QB22","171","151","161.0"
"160","Jaylen Wright","MIA","12","RB56","175","149","162.0"
"161","Michael Penix Jr.","ATL","5","QB23","166","158","162.0"
"162","Jalen McMillan","TB","9","WR62","141","187","164.0"
"163","Cam Ward","TEN","10","QB24","161","168","164.5"
"164","Rashod Bateman","BAL","7","WR63","148","188","168.0"
"165","Matthew Stafford","LAR","8","QB25","163","173","168.0"
"166","Brenton Strange","JAC","8","TE20","179","160","169.5"
"167","DeAndre Hopkins","BAL","7","WR64","183","157","170.0"
"168","Kyle Williams","NE","14","WR65","143","202","172.5"
"169","Pittsburgh Steelers","DST","5","DST3","160","185","172.5"
"170","Cedric Tillman","CLE","9","WR66","176","170","173.0"
"171","Isaiah Likely","BAL","7","TE21","154","196","175.0"
"172","Geno Smith","LV","8","QB26","186","165","175.5"
"173","Adam Thielen","CAR","14","WR67","165","192","178.5"
"174","Cade Otton","TB","9","TE22","180","178","179.0"
"175","Wan'Dale Robinson","NYG","14","WR68","181","179","180.0"
"176","Minnesota Vikings","DST","6","DST4","167","194","180.5"
"177","Sam Darnold","SEA","8","QB27","192","169","180.5"
"178","Kyle Monangai","CHI","5","RB57","208","154","181.0"
"179","Xavier Legette","CAR","14","WR69","182","182","182.0"
"180","Justice Hill","BAL","7","RB58","203","164","183.5"
"181","Mason Taylor","NYJ","9","TE23","170","198","184.0"
"182","DeMario Douglas","NE","14","WR70","198","172","185.0"
"183","Aaron Rodgers","PIT","5","QB28","194","176","185.0"
"184","Anthony Richardson Sr.","IND","11","QB29","188","183","185.5"
"185","Romeo Doubs","GB","5","WR71","185","189","187.0"
"186","Joshua Palmer","BUF","7","WR72","187","191","189.0"
"187","Baltimore Ravens","DST","7","DST5","191","190","190.5"
"188","Brandon Aubrey","DAL","10","K1","229","155","192.0"
"189","Chig Okonkwo","TEN","10","TE24","207","177","192.0"
"190","Roschon Johnson","CHI","5","RB59","178","206","192.0"
"191","Houston Texans","DST","6","DST6","202","184","193.0"
"192","Mike Gesicki","CIN","10","TE25","169","225","197.0"
"193","Kareem Hunt","KC","10","RB60","216","180","198.0"
"194","Blake Corum","LAR","8","RB61","177","220","198.5"
"195","Pat Freiermuth","PIT","5","TE26","159","239","199.0"
"196","Cameron Dicker","LAC","12","K2","230","174","202.0"
"197","San Francisco 49ers","DST","14","DST7","164","242","203.0"
"198","Quentin Johnston","LAC","12","WR73","173","238","205.5"
"199","Dalton Schultz","HOU","6","TE27","201","210","205.5"
"200","Russell Wilson","NYG","14","QB30","219","193","206.0"
"201","Buffalo Bills","DST","7","DST8","238","175","206.5"
"202","Jarquez Hunter","LAR","8","RB62","218","197","207.5"
"203","Alec Pierce","IND","11","WR74","197","219","208.0"
"204","Kansas City Chiefs","DST","10","DST9","204","214","209.0"
"205","Jake Bates","DET","8","K3","233","186","209.5"
"206","Detroit Lions","DST","8","DST10","199","221","210.0"
"207","Brashard Smith","KC","10","RB63","193","230","211.5"
"208","MarShawn Lloyd","GB","5","RB64","205","218","211.5"
"209","Ka'imi Fairbairn","HOU","6","K4","231","195","213.0"
"210","Will Shipley","PHI","9","RB65","223","203","213.0"
"211","DJ Giddens","IND","11","RB66","209","217","213.0"
"212","Washington Commanders","DST","12","DST11","157","271","214.0"
"213","Woody Marks","HOU","6","RB67","252","181","216.5"
"214","Pat Bryant","DEN","12","WR75","200","235","217.5"
"215","Jaxson Dart","NYG","14","QB31","213","228","220.5"
"216","Elijah Arroyo","SEA","8","TE28","241","204","222.5"
"217","Tyler Shough","NO","11","QB32","237","208","222.5"
"218","Miles Sanders","DAL","10","RB68","239","207","223.0"
"219","Harrison Butker","KC","10","K5","235","212","223.5"
"220","Ja'Tavion Sanders","CAR","14","TE29","215","234","224.5"
"221","Jacory Croskey-Merritt","WAS","12","RB69","284","167","225.5"
"222","Shedeur Sanders","CLE","9","QB33","227","226","226.5"
"223","Daniel Jones","IND","11","QB34","244","213","228.5"
"224","Tahj Brooks","CIN","10","RB70","258","201","229.5"
"225","Darren Waller","MIA","12","TE30","232","229","230.5"
"226","Jalen Royals","KC","10","WR76","211","256","233.5"
"227","Keaton Mitchell","BAL","7","RB71","265","205","235.0"
"228","Ollie Gordon II","MIA","12","RB72","257","215","236.0"
"229","Devin Neal","NO","11","RB73","189","284","236.5"
"230","Chase McLaughlin","TB","9","K6","276","199","237.5"
"231","Jaylin Noel","HOU","6","WR77","210","267","238.5"
"232","Tampa Bay Buccaneers","DST","9","DST12","196","282","239.0"
"233","Los Angeles Rams","DST","8","DST13","256","222","239.0"
"234","Tyler Bass","BUF","7","K7","234","249","241.5"
"235","Juwan Johnson","NO","11","TE31","228","257","242.5"
"236","New York Giants","DST","14","DST14","245","244","244.5"
"237","Cole Kmet","CHI","5","TE32","220","270","245.0"
"238","Dont'e Thornton Jr.","LV","8","WR78","281","211","246.0"
"239","Joe Flacco","CLE","9","QB35","286","209","247.5"
"240","Evan McPherson","CIN","10","K8","236","259","247.5"
"241","Chris Boswell","PIT","5","K9","275","223","249.0"
"242","Michael Wilson","ARI","8","WR79","214","285","249.5"
"243","Terrance Ferguson","LAR","8","TE33","206","294","250.0"
"244","Amari Cooper","","","WR80","190","331","260.5"
"245","Green Bay Packers","DST","5","DST15","250","251","250.5"
"246","Jake Elliott","PHI","9","K10","278","224","251.0"
"247","Seattle Seahawks","DST","8","DST16","195","318","256.5"
"248","Darius Slayton","NYG","14","WR81","254","252","253.0"
"249","Adonai Mitchell","IND","11","WR82","221","286","253.5"
"250","Wil Lutz","DEN","12","K11","309","200","254.5"
"251","Elijah Mitchell","KC","10","RB74","295","216","255.5"
"252","Jason Sanders","MIA","12","K12","280","231","255.5"
"253","Raheem Mostert","LV","8","RB75","267","245","256.0"
"254","Jordan James","SF","14","RB76","212","302","257.0"
"255","Dyami Brown","JAC","8","WR83","247","269","258.0"
"256","Zack Moss","","","RB77","272","248","260.0"
"257","Isaac TeSlaa","DET","8","WR84","266","254","260.0"
"258","New York Jets","DST","9","DST17","243","278","260.5"
"259","Dallas Cowboys","DST","10","DST18","287","236","261.5"
"260","Jalen Milroe","SEA","8","QB36","262","261","261.5"
"261","Los Angeles Chargers","DST","12","DST19","253","273","263.0"
"262","Theo Johnson","NYG","14","TE34","226","301","263.5"
"263","Tyler Lockett","TEN","10","WR85","217","322","269.5"
"264","Kendre Miller","NO","11","RB78","264","264","264.0"
"265","Dontayvion Wicks","GB","5","WR86","224","306","265.0"
"266","Tory Horton","SEA","8","WR87","268","262","265.0"
"267","Elic Ayomanor","TEN","10","WR88","225","307","266.0"
"268","Jaleel McLaughlin","DEN","12","RB79","222","321","271.5"
"269","Roman Wilson","PIT","5","WR89","259","274","266.5"
"270","Tyler Loop","BAL","7","K13","279","255","267.0"
"271","Antonio Gibson","NE","14","RB80","303","232","267.5"
"272","Trevor Etienne","CAR","14","RB81","255","280","267.5"
"273","Tyler Conklin","LAC","12","TE35","270","266","268.0"
"274","Spencer Rattler","NO","11","QB37","","227","227.0"
"275","Kirk Cousins","ATL","5","QB38","300","237","268.5"
"276","Brandon McManus","GB","5","K14","","233","233.0"
"277","Younghoe Koo","ATL","5","K15","277","272","274.5"
"278","Tennessee Titans","DST","10","DST20","240","","240.0"
"279","Sean Tucker","TB","9","RB82","","240","240.0"
"280","A.J. Dillon","PHI","9","RB83","","241","241.0"
"281","Jalen Tolbert","DAL","10","WR90","305","246","275.5"
"282","Harold Fannin Jr.","CLE","9","TE36","246","305","275.5"
"283","New England Patriots","DST","14","DST21","248","303","275.5"
"284","Jalen Coker","CAR","14","WR91","242","314","278.0"
"285","Ray-Ray McCloud III","ATL","5","WR92","","243","243.0"
"286","Kayshon Boutte","NE","14","WR93","291","265","278.0"
"287","Arizona Cardinals","DST","8","DST22","","247","247.0"
"288","Calvin Austin III","PIT","5","WR94","249","308","278.5"
"289","Jimmy Garoppolo","LAR","8","QB39","","250","250.0"
"290","Noah Gray","KC","10","TE37","260","300","280.0"
"291","Miami Dolphins","DST","12","DST23","251","","251.0"
"292","Devin Singletary","NYG","14","RB84","294","268","281.0"
"293","Cam Little","JAC","8","K16","","253","253.0"
"294","Chicago Bears","DST","5","DST24","","258","258.0"
"295","Matt Gay","WAS","12","K17","","260","260.0"
"296","Xavier Restrepo","TEN","10","WR95","261","","261.0"
"297","Andrei Iosivas","CIN","10","WR96","288","283","285.5"
"298","Ty Johnson","BUF","7","RB85","","263","263.0"
"299","Diontae Johnson","CLE","9","WR97","263","324","293.5"
"300","Brandin Cooks","NO","11","WR98","269","316","292.5"
"301","Audric Estime","DEN","12","RB86","271","313","292.0"
"302","Taysom Hill","NO","11","TE38","273","","273.0"
"303","Noah Fant","CIN","10","TE39","274","319","296.5"
"304","Dameon Pierce","HOU","6","RB87","","275","275.0"
"305","Cincinnati Bengals","DST","10","DST25","","276","276.0"
"306","Efton Chism III","NE","14","WR99","","279","279.0"
"307","Tyler Higbee","LAR","8","TE40","302","287","294.5"
"308","Chris Rodriguez Jr.","WAS","12","RB88","","281","281.0"
"309","Jordan Whittington","LAR","8","WR100","282","","282.0"
"310","Troy Franklin","DEN","12","WR101","304","289","296.5"
"311","Oronde Gadsden II","LAC","12","TE41","283","311","297.0"
"312","Ben Sinnott","WAS","12","TE42","285","","285.0"
"313","Jalen Nailor","MIN","6","WR102","","288","288.0"
"314","Christian Watson","GB","5","WR103","289","","289.0"
"315","Tutu Atwell","LAR","8","WR104","290","309","299.5"
"316","Daniel Carlson","LV","8","K18","308","291","299.5"
"317","Tre Tucker","LV","8","WR105","","290","290.0"
"318","Indianapolis Colts","DST","11","DST26","292","","292.0"
"319","Devaughn Vele","DEN","12","WR106","","292","292.0"
"320","Las Vegas Raiders","DST","8","DST27","293","","293.0"
"321","Samaje Perine","CIN","10","RB89","","293","293.0"
"322","Demarcus Robinson","SF","14","WR107","","295","295.0"
"323","Jacksonville Jaguars","DST","8","DST28","296","","296.0"
"324","Tanner McKee","PHI","9","QB40","","296","296.0"
"325","Khalil Herbert","IND","11","RB90","297","","297.0"
"326","Joshua Karty","LAR","8","K19","","297","297.0"
"327","New Orleans Saints","DST","11","DST29","298","","298.0"
"328","Will Reichard","MIN","6","K20","","298","298.0"
"329","Cleveland Browns","DST","9","DST30","","299","299.0"
"330","Marquez Valdes-Scantling","SEA","8","WR108","299","","299.0"
"331","Damien Martinez","SEA","8","RB91","301","","301.0"
"332","KeAndre Lambert-Smith","LAC","12","WR109","","304","304.0"
"333","Curtis Samuel","BUF","7","WR110","306","","306.0"
"334","Jake Moody","SF","14","K21","","310","310.0"
"335","Olamide Zaccheaus","CHI","5","WR111","","312","312.0"
"336","Kenneth Gainwell","PIT","5","RB92","","315","315.0"
"337","Noah Brown","WAS","12","WR112","","317","317.0"
"338","Malik Washington","MIA","12","WR113","","320","320.0"
"339","Emanuel Wilson","GB","5","RB93","","323","323.0"
"340","Isaiah Bond","CLE","9","WR114","","325","325.0"
"341","Jermaine Burton","CIN","10","WR115","","326","326.0"
"342","Isaiah Davis","NYJ","9","RB94","","327","327.0"
"343","Tai Felton","MIN","6","WR116","","328","328.0"
"344","Elijah Moore","BUF","7","WR117","","329","329.0"
"345","Kimani Vidal","LAC","12","RB95","","330","330.0"
"346","Phil Mafah","DAL","10","RB96","","332","332.0"
""
""