"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Saquon Barkley","PHI","327.8","1,661.5","10.8","41.9","318.1","2.2","1.4","273.2"
"Bijan Robinson","ATL","304.2","1,419.2","11.4","57.7","438.3","2.2","1.4","264.5"
"Jahmyr Gibbs","DET","239.9","1,239.5","11.7","57.7","508.5","2.8","1.3","258.9"
"Derrick Henry","BAL","295.1","1,508.5","13.3","16.4","153.1","0.9","1.4","248.4"
"Christian McCaffrey","SF","238.7","1,085.7","7.9","64.9","563.6","3.5","1.8","229.8"
"Josh Jacobs","GB","284.2","1,210.8","11.3","38.1","316.0","1.5","1.5","226.0"
"Jonathan Taylor","IND","302.2","1,381.2","10.4","28.9","206.4","1.3","1.6","225.6"
"De'Von Achane","MIA","222.1","1,031.4","7.8","69.3","512.1","4.1","1.3","222.8"
"Ashton Jeanty","LV","272.7","1,203.4","9.0","45.9","362.7","1.9","2.4","216.9"
"Kyren Williams","LAR","275.5","1,191.7","11.2","33.7","213.5","1.7","2.3","213.0"
"Bucky Irving","TB","234.5","1,110.8","8.3","44.4","343.6","1.7","1.4","202.5"
"Chase Brown","CIN","239.6","999.6","8.0","54.6","381.4","2.7","1.4","199.4"
"James Cook","BUF","227.1","1,068.9","9.6","31.4","258.7","1.9","1.4","198.9"
"Breece Hall","NYJ","223.4","996.2","5.9","47.5","388.8","2.2","1.9","183.0"
"James Conner","ARI","213.6","970.8","7.8","41.0","314.6","1.7","1.4","182.6"
"Kenneth Walker III","SEA","236.5","973.4","8.2","43.1","307.7","1.3","1.3","182.3"
"Omarion Hampton","LAC","222.5","970.0","8.5","35.7","276.0","1.5","2.1","180.4"
"Chuba Hubbard","CAR","240.1","1,066.6","7.8","37.9","230.6","1.0","1.8","179.3"
"Alvin Kamara","NO","215.6","903.4","5.1","63.0","475.6","2.0","1.3","178.0"
"D'Andre Swift","CHI","238.7","967.1","6.2","36.4","283.0","1.2","1.1","167.2"
"David Montgomery","DET","196.6","819.0","8.9","31.4","258.4","0.9","1.0","164.5"
"Aaron Jones Sr.","MIN","201.2","899.0","4.6","45.0","331.4","2.3","1.8","160.6"
"TreVeyon Henderson","NE","210.7","925.8","6.0","33.7","263.0","1.5","1.7","160.2"
"Tony Pollard","TEN","227.0","957.1","5.4","40.0","257.5","0.9","1.0","157.0"
"Joe Mixon","HOU","200.6","787.4","7.0","31.9","245.0","1.2","0.9","151.3"
"Isiah Pacheco","KC","203.5","837.6","5.7","33.4","228.6","1.1","1.0","145.3"
"Kaleb Johnson","PIT","196.7","828.8","6.4","23.2","177.8","1.0","1.7","141.8"
"RJ Harvey","DEN","174.0","762.0","5.2","33.6","257.4","1.6","1.0","141.0"
"Tyrone Tracy Jr.","NYG","188.9","804.4","5.0","35.4","260.8","1.1","1.6","139.6"
"Jaylen Warren","PIT","150.8","687.2","3.8","47.5","348.4","1.1","1.1","130.8"
"Quinshon Judkins","CLE","180.9","745.2","4.8","22.7","171.9","1.0","1.3","123.8"
"Brian Robinson Jr.","WAS","167.4","662.4","5.6","19.7","148.0","0.9","0.9","118.1"
"J.K. Dobbins","DEN","148.4","658.2","4.7","29.1","187.9","1.2","1.2","117.7"
"Javonte Williams","DAL","174.9","645.7","4.2","35.9","229.2","1.1","0.9","117.4"
"Jordan Mason","MIN","161.9","746.3","4.4","17.6","128.3","0.7","0.7","116.7"
"Austin Ekeler","WAS","95.3","430.6","4.3","45.3","371.1","1.8","1.0","114.5"
"Rhamondre Stevenson","NE","154.2","630.4","4.9","28.0","177.7","1.1","1.5","113.8"
"Travis Etienne Jr.","JAC","140.8","576.4","3.7","37.7","278.6","1.2","0.9","112.6"
"Zach Charbonnet","SEA","127.3","537.9","4.5","33.1","243.9","0.9","0.8","108.9"
"Najee Harris","LAC","138.4","558.1","4.8","21.8","157.9","0.8","0.8","103.5"
"Rachaad White","TB","114.5","462.6","2.8","37.6","282.9","2.1","1.3","101.7"
"Tyjae Spears","TEN","124.3","497.6","3.7","33.6","251.5","1.0","0.9","101.2"
"Jerome Ford","CLE","143.5","576.5","2.9","31.8","218.8","0.9","0.8","101.1"
"Cam Skattebo","NYG","125.2","541.8","3.6","24.6","188.9","0.9","1.2","97.8"
"Tank Bigsby","JAC","151.5","611.8","4.8","11.2","81.6","0.2","1.2","96.9"
"Trey Benson","ARI","130.3","575.5","3.9","13.5","104.6","0.4","0.9","92.4"
"Jacory Croskey-Merritt","WAS","105.2","474.9","4.2","15.8","131.4","0.8","0.8","89.4"
"Jaylen Wright","MIA","135.7","559.0","3.4","14.1","98.2","0.6","1.5","86.6"
"Nick Chubb","HOU","124.1","511.6","4.3","10.4","79.2","0.4","0.5","86.5"
"Ray Davis","BUF","114.4","484.5","3.6","12.4","105.5","1.0","0.8","85.0"
"Tyler Allgeier","ATL","119.9","549.4","3.3","12.6","92.5","0.3","0.8","84.3"
"Jaydon Blue","DAL","109.2","476.9","2.9","19.3","150.7","0.8","0.8","83.3"
"Dylan Sampson","CLE","115.0","463.7","2.4","22.6","176.8","0.9","0.8","82.3"
"Isaac Guerendo","SF","112.7","488.0","3.9","10.6","92.8","0.4","0.9","81.8"
"Rico Dowdle","CAR","99.3","431.3","2.5","21.0","143.5","1.1","0.8","77.1"
"Roschon Johnson","CHI","90.8","328.8","4.7","18.5","120.5","0.5","0.4","75.2"
"Bhayshul Tuten","JAC","91.6","397.3","2.7","17.5","137.6","0.8","0.8","73.1"
"Braelon Allen","NYJ","105.0","404.9","2.7","16.2","120.6","0.8","0.4","73.0"
"MarShawn Lloyd","GB","105.6","380.9","2.9","13.5","108.4","0.7","0.8","69.2"
"Kareem Hunt","KC","82.4","313.9","3.4","19.2","133.3","0.7","0.1","69.1"
"Miles Sanders","DAL","93.9","404.7","2.3","12.0","77.2","0.6","0.5","64.5"
"Kendre Miller","NO","95.0","365.7","3.2","9.7","72.6","0.2","0.4","63.0"
"Woody Marks","HOU","74.3","272.6","1.8","22.4","162.7","1.0","0.1","60.4"
"Blake Corum","LAR","96.3","350.5","2.4","12.0","87.4","0.4","0.4","59.5"
"Raheem Mostert","LV","77.1","289.7","2.6","17.6","129.3","0.5","0.8","59.4"
"Justice Hill","BAL","41.8","185.1","1.1","27.3","222.3","1.7","0.4","56.7"
"Keaton Mitchell","BAL","75.2","330.0","1.7","8.6","83.3","0.5","0.0","54.2"
"Ty Johnson","BUF","44.9","205.3","0.9","15.2","165.1","1.5","0.1","51.3"
"Khalil Herbert","IND","78.0","274.5","2.0","7.6","43.2","0.2","0.0","44.9"
"Jarquez Hunter","LAR","57.1","244.7","1.9","8.5","68.7","0.4","0.7","43.8"
"Elijah Mitchell","KC","62.5","235.4","1.9","9.4","56.1","0.5","0.1","43.1"
"Antonio Gibson","NE","51.5","210.3","1.0","15.7","127.9","0.5","0.0","42.6"
"Tahj Brooks","CIN","39.0","221.2","1.9","8.5","70.8","0.4","0.7","41.7"
"Samaje Perine","CIN","37.2","153.1","1.2","16.2","141.4","0.9","0.4","41.1"
"Kenneth Gainwell","PIT","58.5","210.7","1.4","12.5","88.3","0.4","0.4","39.8"
"Kyle Monangai","CHI","42.0","236.8","2.0","5.0","36.2","0.1","0.1","39.3"
"Devin Singletary","NYG","52.1","235.7","1.5","9.4","63.6","0.1","0.4","39.1"
"Trevor Etienne","CAR","47.8","191.3","1.5","10.7","86.8","0.4","0.4","38.3"
"Will Shipley","PHI","37.4","199.4","1.3","8.3","61.8","0.4","0.1","36.2"
"Sean Tucker","TB","44.8","231.4","1.4","5.1","40.2","0.3","0.7","36.1"
"Devin Neal","NO","38.8","204.6","1.3","7.3","54.5","0.4","0.1","35.9"
"Emanuel Wilson","GB","41.9","202.7","1.4","7.4","53.9","0.4","0.3","35.6"
"Jaleel McLaughlin","DEN","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"DJ Giddens","IND","24.4","186.5","1.5","7.6","58.3","0.1","0.0","33.7"
"Zamir White","LV","56.1","190.2","1.1","8.7","61.5","0.3","0.0","33.5"
"A.J. Dillon","PHI","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Ollie Gordon II","MIA","32.6","165.9","1.5","5.8","42.6","0.1","0.4","29.6"
"Chris Rodriguez Jr.","WAS","33.0","168.8","1.4","2.6","19.1","0.0","0.0","27.6"
"Jordan James","SF","26.9","154.4","1.3","3.3","29.2","0.0","0.0","26.0"
"Brashard Smith","KC","9.7","97.0","0.7","10.9","80.3","0.7","0.0","25.5"
"Audric Estime","DEN","45.5","148.8","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
"Isaiah Davis","NYJ","29.9","149.6","0.8","5.1","36.9","0.1","0.0","24.3"
"Zavier Scott","MIN","32.0","153.0","1.0","3.0","29.0","0.0","0.0","24.2"
"Kyle Juszczyk","SF","6.7","26.8","0.4","13.8","135.2","1.1","0.4","24.0"
"Chris Brooks","GB","30.9","139.1","0.9","5.0","32.1","0.0","0.0","22.9"
"Clyde Edwards-Helaire","NO","41.5","126.7","0.6","5.6","42.7","0.3","0.1","22.1"
"Tyler Goodson","IND","30.0","109.7","0.7","4.7","31.3","0.3","0.0","20.1"
"Kimani Vidal","LAC","35.4","105.4","0.6","5.4","41.2","0.3","0.0","20.0"
"Sincere McCormick","LV","23.7","112.9","0.8","4.3","29.9","0.1","0.1","19.2"
"Emari Demercado","ARI","18.7","106.1","0.4","8.1","54.1","0.1","0.0","19.1"
"Ty Chandler","MIN","18.9","96.3","0.7","5.5","38.9","0.1","0.0","18.4"
"Pierre Strong Jr.","CLE","26.3","83.8","0.4","8.4","63.9","0.2","0.0","18.3"
"Cam Akers","NO","36.1","113.5","0.6","3.0","20.4","0.1","0.0","18.0"
"Kalel Mullings","TEN","10.4","96.5","0.6","3.0","21.8","0.0","0.0","15.8"
"Damien Martinez","SEA","8.8","97.5","0.6","3.0","21.9","0.0","0.0","15.8"
"Dameon Pierce","HOU","4.5","81.6","0.7","5.8","40.1","0.1","1.0","15.4"
"Patrick Taylor Jr.","SF","29.1","89.6","0.4","2.9","20.9","0.2","0.0","14.5"
"Rasheen Ali","BAL","5.2","80.8","0.6","2.4","17.7","0.1","0.0","13.6"
"Jeremy McNichols","WAS","19.7","73.6","0.7","2.7","15.3","0.0","0.0","13.4"
"Michael Burton","DEN","6.7","14.6","0.6","7.1","45.6","0.6","0.0","13.0"
"Craig Reynolds","DET","8.5","38.0","0.1","6.9","55.8","0.4","0.0","12.3"
"Travis Homer","CHI","22.2","71.6","0.3","3.3","25.0","0.1","0.0","12.3"
"Ronnie Rivers","LAR","31.7","90.4","0.5","0.3","2.3","0.0","0.0","12.2"
"Alec Ingold","MIA","8.9","21.2","0.6","6.1","44.1","0.4","0.4","11.6"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.8","0.1","0.0","11.3"
"Michael Carter","ARI","9.6","41.2","0.2","6.6","45.0","0.3","0.0","11.3"
"LeQuint Allen Jr.","JAC","4.0","50.9","0.6","3.0","22.0","0.0","0.0","10.6"
"Raheem Blackshear","CAR","23.0","66.1","0.4","2.9","21.0","0.1","0.5","10.4"
"Carson Steele","KC","26.9","70.0","0.3","4.1","22.1","0.1","0.7","10.2"
"Jordan Mims","TEN","14.8","62.1","0.3","2.0","14.1","0.1","0.0","9.9"
"Kenny McIntosh","SEA","7.8","33.5","0.2","4.2","31.7","0.2","0.0","8.8"
"Hassan Haskins","LAC","16.0","36.0","0.3","1.7","14.3","0.3","0.3","8.4"
"Dare Ogunbowale","HOU","6.6","28.8","0.1","4.9","37.6","0.2","0.0","8.3"
"Julius Chestnut","TEN","9.9","30.3","0.1","4.4","31.6","0.2","0.0","7.9"
"Frank Gore Jr.","BUF","10.2","42.8","0.2","2.0","14.9","0.1","0.0","7.7"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","28.0","0.5","0.0","7.5"
"Deuce Vaughn","DAL","9.0","35.4","0.1","3.1","21.4","0.1","0.0","7.0"
"Gary Brightwell","CIN","8.1","33.8","0.2","2.4","16.7","0.1","0.0","6.8"
"Eric Gray","NYG","11.9","42.7","0.2","1.9","14.4","0.1","0.5","6.0"
"Jashaun Corbin","ATL","9.3","35.1","0.2","1.5","10.6","0.0","0.0","5.7"
"Darrynton Evans","BUF","5.1","21.3","0.1","1.9","15.3","0.1","0.0","4.9"
"Hunter Luepke","DAL","4.2","14.6","0.1","3.9","26.6","0.1","0.0","4.8"
"DeeJay Dallas","ARI","5.8","22.2","0.1","3.2","21.4","0.1","0.5","4.4"
"Trey Sermon","PIT","5.0","20.8","0.1","1.6","11.5","0.1","0.0","3.9"
"Zonovan Knight","ARI","2.4","10.1","0.1","2.1","15.3","0.1","0.0","3.6"
"Elijah Dotson","ATL","2.6","10.9","0.1","2.0","14.1","0.1","0.0","3.5"
"Velus Jones Jr.","NO","2.4","10.5","0.1","1.9","13.5","0.1","0.0","3.4"
"Terrell Jennings","NE","2.4","10.1","0.1","1.9","14.6","0.1","0.0","3.3"
"Israel Abanikanda","GB","2.4","10.2","0.1","1.0","7.3","0.1","0.0","2.7"
"Jase McClellan","TB","0.0","17.0","0.0","1.0","7.0","0.0","0.0","2.4"
"Dylan Laube","LV","0.0","10.0","0.0","1.5","11.0","0.0","0.0","2.1"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","14.8","0.1","0.0","1.9"
"Carlos Washington Jr.","ATL","0.0","15.0","0.0","0.5","3.5","0.0","0.0","1.9"
"Scott Matlock","LAC","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.8"
"Raheim Sanders","LAC","0.0","10.5","0.0","1.0","7.5","0.0","0.0","1.8"
"Lan Larison","NE","0.0","6.0","0.0","1.5","11.0","0.0","0.0","1.7"
"Tyler Badie","DEN","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Phil Mafah","DAL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Jeff Wilson Jr.","SF","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Trayveon Williams","CLE","1.2","5.1","0.0","1.0","7.0","0.0","0.0","1.4"
"George Holani","SEA","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.2"
"D'Ernest Johnson","BAL","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.2"
"Avery Williams","PHI","1.4","5.7","0.0","1.6","10.9","0.1","0.5","1.0"
"Keilan Robinson","PHI","0.0","2.0","0.0","1.0","7.0","0.0","0.0","0.9"
"Sione Vaki","DET","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"JaMycal Hasty","NE","0.0","4.0","0.0","0.5","3.5","0.0","0.0","0.8"
"Myles Gaskin","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alexander Mattison","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Boone","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Jackson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Adam Prentice","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Owen Wright","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aaron Shampklin","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Donovan Edwards","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Kiner","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""